p,mu
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0.1
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.002,0
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,0.1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
0.005,1
